"Method","Path","OperationId","LambdaHandler","DynamoDbPattern","Auth","TenantIsolated","ZodValidated","Status"
"POST","/admin/hsn-seed","hsnMasterSeed","src/handlers/hsn-seed.ts:handler","Put/Write","No","No","No","Implemented"
"POST","/ai/chat","aiChat","src/handlers/ai.ts:chat","Update/Get","No","No","Yes","Implemented"
"GET","/ai/settings","aiGetSettings","src/handlers/ai.ts:getSettings","Update/Get","Yes","Yes","Yes","Implemented"
"PUT","/ai/settings","aiUpdateSettings","src/handlers/ai.ts:updateSettings","Update/Get","Yes","Yes","Yes","Implemented"
"GET","/api/v1/bills","v1BillsList","src/handlers/v1-bills.ts:listBillsHandler","Put/Write/Update/Delete/Get","Yes","Yes","No","Implemented"
"POST","/api/v1/bills","v1BillsCreate","src/handlers/v1-bills.ts:createBillHandler","Put/Write/Update/Delete/Get","Yes","Yes","No","Implemented"
"GET","/api/v1/bills/count","v1BillsCount","src/handlers/v1-bills.ts:billCountHandler","Put/Write/Update/Delete/Get","Yes","Yes","No","Implemented"
"GET","/api/v1/bills/cross-business","v1BillsCrossBusiness","src/handlers/v1-bills.ts:listBillsCrossBusinessHandler","Put/Write/Update/Delete/Get","Yes","Yes","No","Implemented"
"DELETE","/api/v1/bills/{id}","v1BillsDelete","src/handlers/v1-bills.ts:deleteBillHandler","Put/Write/Update/Delete/Get","Yes","Yes","No","Implemented"
"GET","/api/v1/bills/{id}","v1BillsGet","src/handlers/v1-bills.ts:getBillHandler","Put/Write/Update/Delete/Get","Yes","Yes","No","Implemented"
"PUT","/api/v1/bills/{id}","v1BillsUpdate","src/handlers/v1-bills.ts:updateBillHandler","Put/Write/Update/Delete/Get","Yes","Yes","No","Implemented"
"GET","/api/v1/connections","v1EntityList","src/handlers/v1-entity.ts:listEntity","Put/Write/Update/Delete/Get","Yes","Yes","No","Implemented"
"POST","/api/v1/connections","v1EntityCreate","src/handlers/v1-entity.ts:createEntity","Put/Write/Update/Delete/Get","Yes","Yes","No","Implemented"
"DELETE","/api/v1/connections/{id}","v1EntityDelete","src/handlers/v1-entity.ts:deleteEntity","Put/Write/Update/Delete/Get","Yes","Yes","No","Implemented"
"GET","/api/v1/connections/{id}","v1EntityGet","src/handlers/v1-entity.ts:getEntity","Put/Write/Update/Delete/Get","Yes","Yes","No","Implemented"
"PUT","/api/v1/connections/{id}","v1EntityUpdate","src/handlers/v1-entity.ts:updateEntity","Put/Write/Update/Delete/Get","Yes","Yes","No","Implemented"
"GET","/api/v1/petrol/dsr","v1PetrolDsr","src/handlers/v1-petrol-pump.ts:generateDsrHandler","Query","Yes","Yes","No","Implemented"
"POST","/api/v1/petrol/fuel-receipt","v1PetrolFuelReceipt","src/handlers/v1-petrol-pump.ts:recordFuelReceiptHandler","Query","Yes","Yes","No","Implemented"
"GET","/api/v1/petrol/fuel-types","v1PetrolFuelTypes","src/handlers/v1-petrol-pump.ts:listFuelTypesHandler","Query","Yes","Yes","No","Implemented"
"POST","/api/v1/petrol/fuel-types/rate","v1PetrolUpdateRate","src/handlers/v1-petrol-pump.ts:updateFuelRateHandler","Query","Yes","Yes","No","Implemented"
"GET","/api/v1/petrol/nozzles","v1PetrolNozzles","src/handlers/v1-petrol-pump.ts:listNozzlesHandler","Query","Yes","Yes","No","Implemented"
"GET","/api/v1/petrol/shifts","v1PetrolShiftsList","src/handlers/v1-petrol-pump.ts:listShiftsHandler","Query","Yes","Yes","No","Implemented"
"POST","/api/v1/petrol/shifts","v1PetrolShiftOpen","src/handlers/v1-petrol-pump.ts:openShiftHandler","Query","Yes","Yes","No","Implemented"
"POST","/api/v1/petrol/shifts/close","v1PetrolShiftClose","src/handlers/v1-petrol-pump.ts:closeShiftHandler","Query","Yes","Yes","No","Implemented"
"GET","/api/v1/petrol/shifts/{id}","v1PetrolShiftGet","src/handlers/v1-petrol-pump.ts:getShiftHandler","Query","Yes","Yes","No","Implemented"
"GET","/api/v1/petrol/tanks","v1PetrolTanks","src/handlers/v1-petrol-pump.ts:listTanksHandler","Query","Yes","Yes","No","Implemented"
"POST","/auth/change-password","authChangePassword","src/handlers/auth.ts:changePassword","Get","No (Public/Pre-auth)","No (Auth level)","Yes","Implemented"
"POST","/auth/login","authLogin","src/handlers/auth.ts:login","Get","No (Public/Pre-auth)","No (Auth level)","Yes","Implemented"
"POST","/auth/logout","authLogout","src/handlers/auth.ts:logout","Get","No (Public/Pre-auth)","No (Auth level)","Yes","Implemented"
"GET","/auth/me","authMe","src/handlers/auth.ts:me","Get","No (Public/Pre-auth)","No (Auth level)","Yes","Implemented"
"POST","/auth/mfa/confirm-setup","authMfaSetupConfirm","src/handlers/auth.ts:mfaSetupConfirm","Get","No (Public/Pre-auth)","No (Auth level)","Yes","Implemented"
"POST","/auth/mfa/setup","authMfaSetup","src/handlers/auth.ts:mfaSetup","Get","No (Public/Pre-auth)","No (Auth level)","Yes","Implemented"
"POST","/auth/mfa/verify","authMfaVerify","src/handlers/auth.ts:mfaVerify","Get","No (Public/Pre-auth)","No (Auth level)","Yes","Implemented"
"POST","/auth/refresh","authRefresh","src/handlers/auth.ts:refresh","Get","No (Public/Pre-auth)","No (Auth level)","Yes","Implemented"
"POST","/auth/signup","authSignup","src/handlers/auth.ts:signup","Get","No (Public/Pre-auth)","No (Auth level)","Yes","Implemented"
"GET","/book-store/books","bookStoreGetBooks","src/handlers/book_store.ts:getBooks","Query/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/book-store/customer-loyalty","bookStoreCustomerLoyalty","src/handlers/book_store.ts:customerLoyaltyLookup","Query/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/book-store/isbn/{isbn}","bookStoreLookupIsbn","src/handlers/book_store.ts:lookupBookByIsbn","Query/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/book-store/low-stock","bookStoreGetLowStock","src/handlers/book_store.ts:getLowStockBooks","Query/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/book-store/returns","bookStoreListReturns","src/handlers/book_store.ts:listBookReturns","Query/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/book-store/returns","bookStoreCreateReturn","src/handlers/book_store.ts:createBookReturn","Query/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/books/consignments","bookStoreGetConsignments","src/handlers/book_store.ts:getConsignments","Query/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/books/consignments","bookStoreCreateConsignment","src/handlers/book_store.ts:createConsignment","Query/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/books/consignments/{id}/settle","bookStoreSettleConsignment","src/handlers/book_store.ts:settleConsignment","Query/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/books/school-orders","bookStoreGetSchoolOrders","src/handlers/book_store.ts:getSchoolOrders","Query/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/books/school-orders","bookStoreInstitutionalOrder","src/handlers/book_store.ts:createInstitutionalOrder","Query/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/books/school-orders/{id}/fulfill","bookStoreFulfillSchoolOrder","src/handlers/book_store.ts:fulfillSchoolOrder","Query/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/businesses/my-access","getMyBusinesses","src/handlers/businesses.ts:getMyAccess","Read/Write","Yes","Yes","Yes","Implemented"
"GET","/category-sales","getCategorySales","N/A:N/A","N/A","Yes","No","No","No serverless handler mapping"
"GET","/challans","challanList","src/handlers/challans.ts:list","Get","Yes","Yes","Yes","Implemented"
"POST","/challans","challanCreate","src/handlers/challans.ts:create","Get","Yes","Yes","Yes","Implemented"
"GET","/challans/{id}","challanGet","src/handlers/challans.ts:get","Get","Yes","Yes","Yes","Implemented"
"POST","/challans/{id}/delivered","challanDelivered","src/handlers/challans.ts:delivered","Get","Yes","Yes","Yes","Implemented"
"POST","/clinic/consultation","clinicCreateSoapNote","src/handlers/clinic.ts:createSoapNote","Query/Put/Write/Update/Delete/Get","Yes","Yes","Yes","Implemented"
"POST","/clinic/follow-ups","clinicCreateFollowUp","src/handlers/clinic.ts:createFollowUp","Query/Put/Write/Update/Delete/Get","Yes","Yes","Yes","Implemented"
"POST","/clinic/labs/orders","clinicCreateLabOrder","src/handlers/clinic.ts:createLabOrder","Query/Put/Write/Update/Delete/Get","Yes","Yes","Yes","Implemented"
"POST","/clinic/labs/orders/{id}/results","clinicAttachLabResult","src/handlers/clinic.ts:attachLabResult","Query/Put/Write/Update/Delete/Get","Yes","Yes","Yes","Implemented"
"GET","/clinic/patients/{id}/history","clinicGetPatientHistory","src/handlers/clinic.ts:getPatientHistory","Query/Put/Write/Update/Delete/Get","Yes","Yes","Yes","Implemented"
"PUT","/clinic/queue/{id}/status","clinicUpdateQueueStatus","src/handlers/clinic.ts:updateQueueStatus","Query/Put/Write/Update/Delete/Get","Yes","Yes","Yes","Implemented"
"PUT","/clothing/variants/bulk","clothingBulkUpdateVariants","src/handlers/clothing.ts:bulkUpdateVariants","Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/clothing/variants/{productId}","clothingGetVariants","src/handlers/clothing.ts:getVariants","Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/computer/checkout","computerCheckout","src/handlers/computer.ts:checkoutBuild","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/computer/job-cards","computerGetJobCards","src/handlers/computer.ts:getJobCards","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/computer/job-cards","computerCreateJobCard","src/handlers/computer.ts:createJobCard","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"PATCH","/computer/job-cards/{id}/status","computerUpdateJobCardStatus","src/handlers/computer.ts:updateJobCardStatus","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"POST","/computer/rma","computerCreateRma","src/handlers/computer.ts:createRma","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"PATCH","/computer/rma/{id}/status","computerUpdateRmaStatus","src/handlers/computer.ts:updateRmaStatus","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/computer/serials","computerGetSerials","src/handlers/computer.ts:getSerials","Query/Put/Write/Update/Get","Yes","Yes","Yes","Implemented"
"GET","/customer/fuel-fills","customerGetFuelFills","src/handlers/customer-app.ts:getMyFillHistory","Get","Yes","Yes","Yes","Implemented"
"GET","/customers/credit/reminder-candidates","getCreditReminderCandidates","src/handlers/customers.ts:getCreditReminderCandidates","Query/Put/Write/Update/Delete/Get","Yes","Yes","Yes","Implemented"
"GET","/customers/recovery-visits","listRecoveryRegister","src/handlers/recovery-visits.ts:listRecoveryRegister","Get","Yes","Yes","Yes","Implemented"
