"Project","Feature","RelativePath","FileName","ClassName","BaseClass"
"Dukan_x","core/general","G:\desktop app genuine\Dukan_x\lib\app\startup_error_screen.dart","startup_error_screen.dart","StartupErrorScreen","StatelessWidget"
"Dukan_x","core/general","G:\desktop app genuine\Dukan_x\lib\components\auth\access_denied.dart","access_denied.dart","AccessDeniedScreen","StatelessWidget"
"Dukan_x","core/general","G:\desktop app genuine\Dukan_x\lib\components\auth\login_page.dart","login_page.dart","LoginPage","ConsumerStatefulWidget"
"Dukan_x","core/general","G:\desktop app genuine\Dukan_x\lib\core\auth\auth_error_screen.dart","auth_error_screen.dart","AuthErrorScreen","StatelessWidget"
"Dukan_x","core/general","G:\desktop app genuine\Dukan_x\lib\core\auth\auth_loading_screen.dart","auth_loading_screen.dart","AuthLoadingScreen","StatelessWidget"
"Dukan_x","core/general","G:\desktop app genuine\Dukan_x\lib\core\module\module_placeholder_screen.dart","module_placeholder_screen.dart","ModulePlaceholderScreen","ConsumerWidget"
"Dukan_x","core/general","G:\desktop app genuine\Dukan_x\lib\core\theme\accessibility_theme.dart","accessibility_theme.dart","AccessibilitySettingsScreen","ConsumerWidget"
"Dukan_x","academic_coaching","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_academic_year_screen.dart","ac_academic_year_screen.dart","AcAcademicYearScreen","StatefulWidget"
"Dukan_x","academic_coaching","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_admissions_screen.dart","ac_admissions_screen.dart","AcAdmissionsScreen","ConsumerStatefulWidget"
"Dukan_x","academic_coaching","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_attendance_screen.dart","ac_attendance_screen.dart","AcAttendanceScreen","StatefulWidget"
"Dukan_x","academic_coaching","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_batches_screen.dart","ac_batches_screen.dart","AcBatchesScreen","StatefulWidget"
"Dukan_x","academic_coaching","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_bulk_operations_screen.dart","ac_bulk_operations_screen.dart","AcBulkOperationsScreen","StatefulWidget"
"Dukan_x","academic_coaching","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_certificate_generator_screen.dart","ac_certificate_generator_screen.dart","AcCertificateGeneratorScreen","StatefulWidget"
"Dukan_x","academic_coaching","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_classwise_fee_screen.dart","ac_classwise_fee_screen.dart","AcClasswiseFeeScreen","StatefulWidget"
"Dukan_x","academic_coaching","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_class_sections_screen.dart","ac_class_sections_screen.dart","AcClassSectionsScreen","StatefulWidget"
"Dukan_x","academic_coaching","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_courses_screen.dart","ac_courses_screen.dart","AcCoursesScreen","StatefulWidget"
"Dukan_x","academic_coaching","G:\desktop app genuine\Dukan_x\lib\features\academic_coaching\presentation\screens\ac_dashboard_screen.dart","ac_dashboard_screen.dart","AcDashboardScreen","ConsumerWidget"
