"Route","Screen","BusinessTypeGuard","RoleGuard","Status","ReachableFrom"
"/auth_gate","Unknown","All","None","Active","vendor_onboarding_screen, app, dukanx_splash_screen"
"/login","LoginPage","All","None","Active","protected_route, customer_profile_screen, pharmacy_dashboard_redirect"
"/license","LicenseScreen","All","None","Active","Deep Link / Direct Navigation"
"/onboarding","VendorOnboardingScreen","All","None","Active","login_page"
"/dashboard_selection","DashboardSelectionScreen","All","None","Active","Deep Link / Direct Navigation"
"/vendor_qr_code","VendorQRCodeScreen","All","manageStaff","Active","Deep Link / Direct Navigation"
"/customer_link_shop","CustomerLinkShopScreen","All","None","Active","my_shops_screen"
"/startup","Unknown","All","None","Active","professional_customer_portal, cloud_sync_settings_screen"
"/home","AdaptiveShell","All","viewInvoices","Active","otp_screen"
"/home_modern","AdaptiveShell","All","viewInvoices","Active","Deep Link / Direct Navigation"
"/enhanced_dashboard","OwnerDashboardRedirect","All","None","Active","Deep Link / Direct Navigation"
"/specialized_dashboard/restaurant","SpecializedDashboardRedirect","All","None","Active","Deep Link / Direct Navigation"
"/specialized_dashboard/clinic","SpecializedDashboardRedirect","All","None","Active","Deep Link / Direct Navigation"
"/owner_dashboard","AdaptiveShell","All","viewInvoices","Active","owner_dashboard_redirect, pharmacy_dashboard_screen, pharmacy_dashboard_redirect"
"/pharmacy/dashboard","PharmacyDashboardScreen","All","viewInvoices","Active","owner_dashboard_redirect, pharmacy_dashboard_redirect"
"/pharmacy/patients","PatientRegistryScreen","All","viewCustomers","Active","patient_registry_service"
"/pharmacy/salt-search","SaltSearchScreen","All","viewProducts","Active","salt_search_screen"
"/signup","LoginPage","All","None","Active","Deep Link / Direct Navigation"
"/owner_login","LoginPage","All","None","Active","professional_startup_screen, owner_auth_guard"
"/customer_login","LoginPage","All","None","Active","professional_startup_screen"
"/shop_selection","ShopSelectionScreen","All","None","Active","Deep Link / Direct Navigation"
"/business_type_selection","Unknown","All","None","Active","Deep Link / Direct Navigation"
"/business_settings","BusinessSettingsScreen","All","systemSettings","Active","main_settings_screen"
"/vendor_profile","VendorProfileScreen","All","systemSettings","Active","main_settings_screen"
"/pending","PendingScreen","All","viewInvoices","Active","concrete_strategies"
"/billing_flow","BillingFlow","All","createInvoices","Active","shortcut_definitions, global_keyboard_handler"
"/customer_bills","CustomerBillsScreen","All","viewInvoices","Active","Deep Link / Direct Navigation"
"/bill_search","BillSearchScreen","All","viewInvoices","Active","Deep Link / Direct Navigation"
"/advanced_billing","AdvancedBillingScreen","All","createInvoices","Active","Deep Link / Direct Navigation"
"/blacklist","BlacklistManagementScreen","All","manageStaff","Active","Deep Link / Direct Navigation"
"/reports","BillingReportsScreen","All","viewReports","Active","shortcut_definitions, concrete_strategies, global_keyboard_handler"
"/add_customer","AddCustomerScreen","All","viewClients","Active","shortcut_definitions, concrete_strategies"
"/total_bills","TotalBillsScreen","All","viewInvoices","Active","Deep Link / Direct Navigation"
"/total_paid","TotalPaidScreen","All","viewInvoices","Active","Deep Link / Direct Navigation"
"/pending_dues","PendingDuesScreen","All","viewInvoices","Active","Deep Link / Direct Navigation"
"/customers_list","CustomersListScreen","All","viewClients","Active","Deep Link / Direct Navigation"
"/settings","SettingsScreen","All","systemSettings","Active","shortcut_definitions, global_keyboard_handler"
"/printer-settings","PrinterSettingsScreen","All","systemSettings","Active","settings_screen, device_settings_screen"
"/admin/recompute_dues","AdminMigrationsScreen","All","manageStaff","Active","Deep Link / Direct Navigation"
"/dev_health","DeveloperHealthScreen","All","systemSettings","Active","main_settings_screen, shortcut_definitions"
"/dev_business_type_switcher","DevBusinessTypeSwitcherScreen","All","None","Active","main_settings_screen"
"/owner_link","OwnerLinkScreen","All","manageStaff","Active","Deep Link / Direct Navigation"
"/customer_link_accept","CustomerLinkAcceptScreen","All","None","Active","Deep Link / Direct Navigation"
"/customer_portal","CustomerDashboardScreen","All","None","Active","Deep Link / Direct Navigation"
"/my-linked-shops","MyLinkedShopsScreen","All","None","Active","Deep Link / Direct Navigation"
"/bill_scan","BillScanScreen","All","createInvoices","Active","Deep Link / Direct Navigation"
"/barcode_scanner","BarcodeScannerScreen","All","createInvoices","Active","Deep Link / Direct Navigation"
