"BusinessType","SidebarItem","ItemId","Route","WidgetClass","FileName","Implemented","Connected","Functional"
"clinic","Overview","clinic_dashboard","/app/clinic_dashboard","DoctorDashboardScreen","doctor_dashboard_screen.dart","Yes","Yes","Yes"
"clinic","Today\","daily_appointments","/app/daily_appointments","AppointmentScreen","appointment_screen.dart","Yes","Yes","Yes"
"clinic","All Patients","patients_list","/app/patients_list","PatientListScreen","patient_list_screen.dart","Yes","Yes","Yes"
"clinic","Register Patient","add_patient","/app/add_patient","AddPatientScreen","add_patient_screen.dart","Yes","Yes","Yes"
"clinic","Patient History","patient_history","/app/patient_history","PatientListScreen","patient_list_screen.dart","Yes","Yes","Yes"
"clinic","Scan Patient QR","scan_qr","/app/scan_qr","QrScannerScreen","qr_scanner_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"clinic","Appointments","appointments","/app/appointments",,"N/A","No","No","No"
"clinic","Prescriptions","prescriptions","/app/prescriptions","SafePrescriptionListScreen","prescriptions_list_screen.dart","Yes","Yes","Yes"
"clinic","Medicine Master","medicine_master","/app/medicine_master","MedicineMasterScreen","medicine_master_screen.dart","Yes","Yes","Yes"
"clinic","Lab Reports","lab_reports","/app/lab_reports","LabReportsScreen","lab_reports_screen.dart","Yes","Yes","Yes"
"clinic","Revenue Analytics","doctor_revenue","/app/doctor_revenue","DoctorRevenueScreen","doctor_revenue_screen.dart","Yes","Yes","Yes"
"clinic","Create Bill","new_sale","/app/new_sale","BillCreationScreenV2","bill_creation_screen_v2.dart","Yes","Yes","Yes"
"clinic","Revenue Overview","revenue_overview","/app/revenue_overview","RevenueOverviewScreen","revenue_overview_screen.dart","Yes","Yes","Yes"
"clinic","Sync Status","sync_status","/app/sync_status","BackupScreen","backup_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"clinic","Settings","device_settings","/app/device_settings","DeviceSettingsScreen","device_settings_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"pharmacy","Dashboard","executive_dashboard","/app/executive_dashboard","DashboardController","dashboard_controller.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"pharmacy","Live Health","live_health","/app/live_health","LiveBusinessHealthScreen","live_business_health_screen.dart","Yes","Yes","Yes"
"pharmacy","Daily Snapshot","daily_snapshot","/app/daily_snapshot","DailySnapshotScreen","daily_snapshot_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"pharmacy","","new_sale","/app/new_sale","BillCreationScreenV2","bill_creation_screen_v2.dart","Yes","Yes","Yes"
"pharmacy","Prescriptions","prescriptions","/app/prescriptions","SafePrescriptionListScreen","prescriptions_list_screen.dart","Yes","Yes","Yes"
"pharmacy","Revenue Overview","revenue_overview","/app/revenue_overview","RevenueOverviewScreen","revenue_overview_screen.dart","Yes","Yes","Yes"
"pharmacy","Sales Register","sales_register","/app/sales_register","SalesRegisterScreen","sales_register_screen.dart","Yes","Yes","Yes"
"pharmacy","Medicine Stock","item_stock","/app/item_stock","InventoryDashboardScreen","inventory_dashboard_screen.dart","Yes","Yes","Yes"
"pharmacy","Batch / Expiry View","batch_tracking","/app/batch_tracking","BatchTrackingScreen","batch_tracking_screen.dart","Yes","Yes","Yes"
"pharmacy","Low Stock / Expiry","low_stock","/app/low_stock","LowStockAlertsScreen","low_stock_alerts_screen.dart","Yes","Yes","Yes"
"pharmacy","Stock Valuation","stock_valuation","/app/stock_valuation","StockValuationScreen","stock_valuation_screen.dart","Yes","Yes","Yes"
"pharmacy","Purchase Orders","purchase_orders","/app/purchase_orders","BuyOrdersScreen","buy_orders_screen.dart","Yes","Yes","Yes"
"pharmacy","Stock Entry","stock_entry","/app/stock_entry","StockEntryScreen","stock_entry_screen.dart","Yes","Yes","Yes"
"pharmacy","Supplier Bills","supplier_bills","/app/supplier_bills","SupplierBillsScreen","supplier_bills_screen.dart","Yes","Yes","Yes"
"restaurant","Dashboard","executive_dashboard","/app/executive_dashboard","DashboardController","dashboard_controller.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"restaurant","Table Management","restaurant_tables","/app/restaurant_tables","TableManagementScreen","table_management_screen.dart","Yes","Yes","Yes"
"restaurant","Kitchen / KOT View","kitchen_display","/app/kitchen_display","KitchenDisplayScreen","kitchen_display_screen.dart","Yes","Yes","Yes"
"restaurant","Menu Management","menu_management","/app/menu_management","FoodMenuManagementScreen","food_menu_management_screen.dart","Yes","Yes","Yes"
"restaurant","Daily Summary","daily_summary","/app/daily_summary","RestaurantDailySummaryScreen","restaurant_daily_summary_screen.dart","Yes","Yes","Yes"
"restaurant","Quick Bill / Invoice","new_sale","/app/new_sale","BillCreationScreenV2","bill_creation_screen_v2.dart","Yes","Yes","Yes"
"restaurant","Live Sales","revenue_overview","/app/revenue_overview","RevenueOverviewScreen","revenue_overview_screen.dart","Yes","Yes","Yes"
"restaurant","Sales History","sales_register","/app/sales_register","SalesRegisterScreen","sales_register_screen.dart","Yes","Yes","Yes"
"restaurant","Stock Summary","stock_summary","/app/stock_summary","StockSummaryScreen","stock_summary_screen.dart","Yes","Yes","Yes"
"restaurant","Ingredients Stock","item_stock","/app/item_stock","InventoryDashboardScreen","inventory_dashboard_screen.dart","Yes","Yes","Yes"
"restaurant","Low Stock Alerts","low_stock","/app/low_stock","LowStockAlertsScreen","low_stock_alerts_screen.dart","Yes","Yes","Yes"
"petrolPump","Station Dashboard","petrol_dashboard","/app/petrol_dashboard","PetrolPumpManagementScreen","petrol_pump_management_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"petrolPump","Shift Management","shift_management","/app/shift_management","ShiftHistoryScreen","shift_history_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"petrolPump","Dispensers / Nozzles","dispenser_management","/app/dispenser_management","DispenserListScreen","dispenser_list_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"petrolPump","Tank Levels","tank_management","/app/tank_management","TankListScreen","tank_list_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"petrolPump","Create Invoice","new_sale","/app/new_sale","BillCreationScreenV2","bill_creation_screen_v2.dart","Yes","Yes","Yes"
"petrolPump","Revenue Overview","revenue_overview","/app/revenue_overview","RevenueOverviewScreen","revenue_overview_screen.dart","Yes","Yes","Yes"
"petrolPump","Sales Register","sales_register","/app/sales_register","SalesRegisterScreen","sales_register_screen.dart","Yes","Yes","Yes"
"petrolPump","Fuel Rates Config","fuel_rates","/app/fuel_rates","FuelRatesScreen","fuel_rates_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"petrolPump","Profit Analysis","fuel_profit_report","/app/fuel_profit_report","FuelProfitReportScreen","fuel_profit_report_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"petrolPump","Nozzle Sales","nozzle_sales_report","/app/nozzle_sales_report","NozzleSalesReportScreen","nozzle_sales_report_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"petrolPump","Shift Reports","shift_report","/app/shift_report","ShiftReportScreen","shift_report_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"petrolPump","Tank Stock","tank_stock_report","/app/tank_stock_report","TankStockReportScreen","tank_stock_report_screen.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Executive Dashboard","executive_dashboard","/app/executive_dashboard","DashboardController","dashboard_controller.dart","Yes","Yes","Partial (Mocked or Unconnected)"
"retail","Live Business Health","live_health","/app/live_health","LiveBusinessHealthScreen","live_business_health_screen.dart","Yes","Yes","Yes"
"retail","Alerts & Notifications","alerts","/app/alerts","AlertsNotificationsScreen","alerts_notifications_screen.dart","Yes","Yes","Yes"
